config_id,design_label,seed,node_count,mac,retry_limit,radio_range_m,aggregation_threshold,security_enabled,edge_ai_enabled,edge_ai_threshold,pdr,latency_mean,energy_per_delivered_packet,total_tx_bytes,communication_saving_ratio,lifetime_proxy,security_coverage,security_overhead_bytes_per_packet,edge_ai_saving_ratio,edge_event_recall,edge_ai_cpu_energy_j,hop_count,link_prr,generated_packets,is_pareto,dominates_count,dominated_by_count,recommendation_rank
sweep_039,Automatic sweep 039,42069,35,aloha,2,30.0,0.0,True,False,2.5,0.6369999999809263,0.046167762478690165,0.00034806720491436176,114260,-0.41691468253968256,375851.4377391355,1.0,12.0,0.0,1.0,0.0,4,0.9998043804234007,420,False,0,94,215
sweep_040,Automatic sweep 040,42069,35,aloha,2,30.0,0.0,True,True,2.5,0.6369999999809263,0.04464002724315688,0.00017139241250419755,56170,0.3034474206349206,763286.7609801644,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,4,0.9998043804234007,420,False,2,40,162
sweep_041,Automatic sweep 041,42069,35,aloha,2,30.0,0.35,False,False,2.5,0.6651438181619017,0.03734746194824237,0.0002728269950560046,49736,0.38323412698412695,868784.7141549358,0.0,0.0,0.0,1.0,0.0,4,0.9998043804234007,222,False,2,130,211
sweep_042,Automatic sweep 042,42069,35,aloha,2,30.0,0.35,False,True,2.5,0.6651438181619017,0.036178465975883464,0.00013463373108302495,24450,0.6968005952380952,1760538.9155211954,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,4,0.9998043804234007,222,False,7,33,179
sweep_043,Automatic sweep 043,42069,35,aloha,2,30.0,0.35,True,False,2.5,0.6651438181619017,0.03936376247869017,0.0003333364990513134,60394,0.2510664682539683,711077.0155325632,1.0,12.0,0.0,1.0,0.0,4,0.9998043804234007,222,False,2,80,193
sweep_044,Automatic sweep 044,42069,35,aloha,2,30.0,0.35,True,True,2.5,0.6651438181619017,0.038112759531156885,0.00016438020324711876,29690,0.6318204365079365,1441949.323770748,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,4,0.9998043804234007,222,False,10,29,113
sweep_045,Automatic sweep 045,42069,35,aloha,2,30.0,0.45,False,False,2.5,0.6731849090707518,0.03540346194824237,0.00026956851245514487,36966,0.541592261904762,1168908.6334255773,0.0,0.0,0.0,1.0,0.0,4,0.9998043804234007,165,False,4,100,204
sweep_046,Automatic sweep 046,42069,35,aloha,2,30.0,0.45,False,True,2.5,0.6731849090707518,0.034313532343883464,0.00013320049879980757,18172,0.7746527777777777,2365613.9755308805,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,4,0.9998043804234007,165,False,12,19,166
sweep_047,Automatic sweep 047,42069,35,aloha,2,30.0,0.45,True,False,2.5,0.6731849090707518,0.037419762478690166,0.00032935900993023067,44888,0.4433531746031746,956709.7058473004,1.0,12.0,0.0,1.0,0.0,4,0.9998043804234007,165,False,4,62,170
sweep_048,Automatic sweep 048,42069,35,aloha,2,30.0,0.45,True,True,2.5,0.6731849090707518,0.036247825899156885,0.00016259350735855973,22067,0.7263516865079365,1937967.6755089115,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,4,0.9998043804234007,165,False,18,18,97
sweep_049,Automatic sweep 049,42069,35,aloha,2,40.0,0.0,False,False,2.5,0.6901999998229533,0.033120604207589534,0.00030632406763663443,70587,-0.16711309523809526,394151.0417873754,0.0,0.0,0.0,1.0,0.0,3,0.9995594479432075,420,False,0,125,213
