config_id,seed,node_count,mac,retry_limit,radio_range_m,aggregation_threshold,security_enabled,pdr,latency_mean,energy_per_delivered_packet,total_tx_bytes,communication_saving_ratio,lifetime_proxy,hop_count,link_prr,generated_packets,is_pareto,dominates_count,dominated_by_count,recommendation_rank
cfg_090,2026,35,aloha,2,40.0,0.0,True,0.6901999998229533,0.03463311194714616,0.0003734442709075671,85713,-0.4172123015873015,323309.1515639031,3,0.9995594479432075,420,False,0,210,279
cfg_091,2026,35,aloha,2,40.0,0.35,False,0.720694290724222,0.028017604207589534,0.00029336063300969837,37310,0.38310185185185186,745696.5850079193,3,0.9995594479432075,222,False,14,68,203
cfg_092,2026,35,aloha,2,40.0,0.35,True,0.720694290724222,0.029530111947146165,0.00035764735300787434,45306,0.25089285714285714,611658.4405596793,3,0.9995594479432075,222,False,4,140,247
cfg_093,2026,35,aloha,2,55.0,0.0,False,0.7699999980504864,0.022092635124315762,0.0003159316025314887,47084,-0.16775793650793647,342558.6665972414,2,0.9989182293741451,420,False,14,82,185
cfg_094,2026,35,aloha,2,55.0,0.0,True,0.7699999980504864,0.02310146682289128,0.0003845257430885839,57175,-0.41803075396825395,281450.8792827023,2,0.9989182293741451,420,False,0,106,237
cfg_095,2026,35,aloha,2,55.0,0.35,False,0.8040199979643534,0.01869063512431576,0.00030256065823701703,24887,0.38276289682539677,648090.6601062609,2,0.9989182293741451,222,False,40,24,109
cfg_096,2026,35,aloha,2,55.0,0.35,True,0.8040199979643534,0.01969946682289128,0.0003682546732310863,30221,0.2504712301587302,532475.895006403,2,0.9989182293741451,222,False,8,56,173
cfg_097,2026,35,aloha,4,25.0,0.0,False,0.6104,0.04415220199712492,0.00023268280752668038,94089,-0.1667782738095238,586732.2143780037,4,0.9998830703536867,420,False,6,76,277
cfg_098,2026,35,aloha,4,25.0,0.0,True,0.6104,0.04616838162206514,0.00028477434001123386,114252,-0.4168154761904761,479405.9004839918,4,0.9998830703536867,420,False,0,178,287
cfg_099,2026,35,aloha,4,25.0,0.35,False,0.6373685818181819,0.03734820199712492,0.0002228385322572981,49733,0.38327132936507935,1110028.498554521,4,0.9998830703536867,222,False,16,36,243
cfg_100,2026,35,aloha,4,25.0,0.35,True,0.6373685818181819,0.03936438162206514,0.00027272331148549825,60390,0.2511160714285714,906989.2853468623,4,0.9998830703536867,222,False,4,118,265
cfg_101,2026,35,aloha,4,40.0,0.0,False,0.6902,0.03313117745734674,0.0003063240675580577,70587,-0.16711309523809526,394151.0417873754,3,0.9995594479432075,420,False,6,148,261
cfg_102,2026,35,aloha,4,40.0,0.0,True,0.6902,0.03464368519700191,0.00037344427081177303,85713,-0.4172123015873015,323309.1515639031,3,0.9995594479432075,420,False,0,208,281
cfg_103,2026,35,aloha,4,40.0,0.35,False,0.720694290909091,0.02802817745734674,0.0002933606329344469,37310,0.38310185185185186,745696.5850079193,3,0.9995594479432075,222,False,16,68,205
cfg_104,2026,35,aloha,4,40.0,0.35,True,0.720694290909091,0.029540685197001912,0.00035764735291613235,45306,0.25089285714285714,611658.4405596793,3,0.9995594479432075,222,False,4,138,249
cfg_105,2026,35,aloha,4,55.0,0.0,False,0.7699999999999978,0.022109943458222543,0.0003159316017316027,47084,-0.16775793650793647,342558.6665972414,2,0.9989182293741451,420,False,16,82,187
cfg_106,2026,35,aloha,4,55.0,0.0,True,0.7699999999999978,0.023118775157771342,0.00038452574211502897,57175,-0.41803075396825395,281450.8792827023,2,0.9989182293741451,420,False,0,104,239
cfg_107,2026,35,aloha,4,55.0,0.35,False,0.8040199999999977,0.018707943458222544,0.00030256065747098396,24887,0.38276289682539677,648090.6601062609,2,0.9989182293741451,222,False,42,24,111
cfg_108,2026,35,aloha,4,55.0,0.35,True,0.8040199999999977,0.019716775157771343,0.000368254672298727,30221,0.2504712301587302,532475.895006403,2,0.9989182293741451,222,False,8,54,175
